,BTC,BNB,XRP,SOL,DOGE,LINK,UNI,LTC,BCH,MATIC,FTT,TRX,AXS,SHIB,AAVE,OKB,GRT,FTM,CEL,MKR,COMP,SUSHI,SNX,HT,CHZ,OMG,ENJ,YFI,SRM,BAT,CRV,REN,AUDIO,BNT,ZRX,DYDX,RAY,PERP,SAND,C98,CRO,HNT,LEO,MANA,WAVES,SKL,SPELL,1INCH
2021-09-27 23:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,BTO,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,STO,CSP,CLP,CSP,,,,CSP,,,,,
2021-09-28 00:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CLP,CSP,,,,CSP,,,,,
2021-09-28 01:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,BTO,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CLP,CSP,,,,CSP,,,,,
2021-09-28 02:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,CSP,CSP,CLP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,BTO,STO,CSP,STO,CSP,,,,CSP,,,,,
2021-09-28 03:00:00,CSP,BTO,CSP,BTO,CSP,CSP,CLP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,BTO,STO,CSP,CLP,CSP,,,,CSP,,,,,
2021-09-28 04:00:00,CSP,BTO,CSP,BTO,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,,STO,CSP,CLP,CSP,BTO,,CSP,,,,,,
2021-09-28 05:00:00,CSP,BTO,CSP,BTO,CSP,CSP,CLP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,,STO,CSP,CLP,CSP,BTO,,CSP,,,,,,
2021-09-28 06:00:00,CSP,BTO,CSP,BTO,CSP,CSP,CLP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,,STO,CSP,CSP,CSP,BTO,,CSP,,,,,,
2021-09-28 07:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,,STO,CSP,CSP,CSP,BTO,,CSP,,,,,,
2021-09-28 08:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,,CLP,CSP,CSP,CSP,BTO,,CSP,,,,,,
2021-09-28 09:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,,STO,CSP,CSP,CSP,BTO,,CSP,,,,,,
2021-09-28 10:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,,STO,CSP,CSP,CSP,BTO,,CSP,,,,,,
2021-09-28 11:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,,STO,CSP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-28 12:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,,CLP,CSP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-28 13:00:00,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CLP,,STO,CSP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-28 14:00:00,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,,CLP,CSP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-28 15:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,,CLP,CSP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-28 16:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,,STO,CSP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-28 17:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,,STO,CSP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-28 18:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,,STO,CSP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-28 19:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CLP,,STO,CSP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-28 20:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CLP,,STO,CSP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-28 21:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CLP,,STO,CSP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-28 22:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,,STO,CSP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-28 23:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CLP,,STO,CSP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-29 00:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CLP,,STO,CSP,CSP,CSP,CSP,,CSP,,,,,,
